城市 超标天数 超标月数 省份 所在区域
和田 177 5.9 新疆 西部
喀什 163 5.43 新疆 西部
石家庄 117 3.9 河北 东部
阿克苏 113 3.77 新疆 西部
临汾 110 3.67 山西 中部
保定 109 3.63 河北 东部
咸阳 107 3.57 陕西 中部
安阳 104 3.47 河南 中部
邢台 103 3.43 河北 东部
